Company                	                        Skills	                                                                                More Info
"Araca Solutions
     (More Jobs)"	Python  ,   Ansible  ,   TCP  /  IP  ,   Juniper  ,   Paloalto  ,  AWS  ,   Azure  ,   CI  /  CD  ,   Jenkins	https://www.timesjobs.com/job-detail/network-devops-automation-engineer-arting-digital-private-limited-bengaluru-bangalore-8-to-12-yrs-jobid-4YGcqVy3769zpSvf__PLUS__uAgZw==&source=srp
zucol services	ui  /  ux designing   ,   frontend development   ,   reactjs   ,   nextjs   ,   nodejs   ,  creative lead  ,  user experience  ,  animation	https://www.timesjobs.com/job-detail/lead-frontend-developer-zucol-services-pune-3-to-4-yrs-jobid-SkQPSLdeTc9zpSvf__PLUS__uAgZw==&source=srp
virtusa consulting services pvt. ltd.	mean stack development   ,   front end development   ,   html  /  css  /  javascript   ,   angular  /  typescript   ,   testing frameworks   ,  database management  ,  mongodb	https://www.timesjobs.com/job-detail/node-js-fsd-developer-virtusa-consulting-services-pvt-ltd-3-to-6-yrs-jobid-81KIlhWFYVtzpSvf__PLUS__uAgZw==&source=srp
virtusa consulting services pvt. ltd.	java architect   ,   cloud based development   ,   spring framework   ,   angular ui   ,   sql expertise   ,  rest  ,  storage  ,  spring boot  ,  git  ,  written communication  ,  web technologies  ,  j2ee  ,  management systems  ,  soap	https://www.timesjobs.com/job-detail/java-architect-virtusa-consulting-services-pvt-ltd-chennai-8-to-12-yrs-jobid-FmRrZ0TiHcxzpSvf__PLUS__uAgZw==&source=srp
virtusa consulting services pvt. ltd.	rpa tools  ,   automation anywhere  ,   troubleshooting  ,   documentation  ,   problem solving    ,  interpersonal skills  ,  job posting  ,  communication	https://www.timesjobs.com/job-detail/automation-anywhere-support-virtusa-consulting-services-pvt-ltd-chennai-5-to-8-yrs-jobid-Uu7jAUfPIOtzpSvf__PLUS__uAgZw==&source=srp
virtusa consulting services pvt. ltd.	angular  ,   java  ,   javascript  ,   rest apis  ,   unit testing   ,  css  ,  soa  ,  salesforce  ,  web developer  ,  html  ,  angularjs  ,  soap	https://www.timesjobs.com/job-detail/front-end-developer-virtusa-consulting-services-pvt-ltd-2-to-3-yrs-jobid-0zU5DTJC3wpzpSvf__PLUS__uAgZw==&source=srp
virtusa consulting services pvt. ltd.	data analytics   ,   programming   ,   api development   ,   machine learning models   ,   cloud services   ,  orchestration  ,  storage  ,  java  ,  python  ,  infrastructure	https://www.timesjobs.com/job-detail/gen-ai-virtusa-consulting-services-pvt-ltd-bengaluru-bangalore-null-7-to-10-yrs-jobid-om1pTzDhGZFzpSvf__PLUS__uAgZw==&source=srp
virtusa consulting services pvt. ltd.	business analysis   ,   system configuration   ,   service desk management   ,   implementation  &  testing   ,   training  &  documentation   ,  information technology  ,  sql  ,  waterfall  ,  user acceptance testing  ,  system testing  ,  uat  ,  system analyst  ,  metrics  ,  agile	https://www.timesjobs.com/job-detail/utt-business-analyst-virtusa-consulting-services-pvt-ltd-dubai-5-to-10-yrs-jobid-JXI8Vp__PLUS__n4Y1zpSvf__PLUS__uAgZw==&source=srp
virtusa consulting services pvt. ltd.	business analysis   ,   project coordination   ,   implementation oversight   ,   system testing   ,   training delivery   ,  information technology  ,  sql  ,  database  ,  technical skills  ,  pl  /  sql  ,  middleware  ,  oracle  ,  system analyst	https://www.timesjobs.com/job-detail/hrms-business-analyst-virtusa-consulting-services-pvt-ltd-dubai-5-to-10-yrs-jobid-XXe35nlaURpzpSvf__PLUS__uAgZw==&source=srp
virtusa consulting services pvt. ltd.	pyspark   ,   hadoop   ,   map reduce   ,   sql   ,   cloud platforms   ,  hive  ,  scala  ,  java  ,  unix shell scripting  ,  couchbase  ,  big data  ,  mongodb  ,  python  ,  github  ,  nosql	https://www.timesjobs.com/job-detail/big-data-engineer-virtusa-consulting-services-pvt-ltd-gurgaon-6-to-9-yrs-jobid-Y0j0__SLASH__Ar3wJBzpSvf__PLUS__uAgZw==&source=srp
